CustomerID,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Payment_Method,Tech_Support_Tickets,Internet_Service_Type,Paperless_Billing,Churn_Status
CUST-00058,46,Two year,66.32,3057.15,Electronic check,1,DSL,Yes,No
CUST-00059,63,Month-to-month,25.21,1586.98,Mailed check,0,No,Yes,No
CUST-00060,22,Two year,50.83,1122.36,Electronic check,3,DSL,No,Yes
CUST-00061,61,One year,75.91,4556.34,Credit card (automatic),1,Fiber optic,No,Yes
CUST-00062,58,Two year,65.61,3847.44,Electronic check,1,DSL,Yes,Yes
CUST-00063,16,Month-to-month,25.1,392.42,Electronic check,1,No,Yes,No
CUST-00064,24,One year,24.08,588.18,Electronic check,0,No,No,No
CUST-00065,24,Month-to-month,90.04,2128.11,Bank transfer (automatic),2,Fiber optic,Yes,Yes
CUST-00066,24,Month-to-month,91.05,2119.64,Credit card (automatic),4,Fiber optic,Yes,Yes
CUST-00067,1,Month-to-month,20.74,21.04,Bank transfer (automatic),2,No,Yes,No
CUST-00068,12,Month-to-month,25.13,307.54,Mailed check,2,No,Yes,No
CUST-00069,29,One year,109.57,3226.51,Credit card (automatic),3,Fiber optic,Yes,No
CUST-00070,43,Two year,20.26,860.17,Electronic check,0,No,Yes,No
CUST-00071,36,Month-to-month,85.63,3020.15,Electronic check,4,Fiber optic,No,Yes
CUST-00072,44,Two year,106.06,4531.49,Mailed check,3,Fiber optic,No,No
CUST-00073,26,Month-to-month,57.94,1468.39,Bank transfer (automatic),2,DSL,No,No
CUST-00074,48,Two year,64.69,3083.42,Electronic check,1,DSL,Yes,No
CUST-00075,27,One year,77.58,2067.57,Mailed check,2,Fiber optic,Yes,No
CUST-00076,5,Month-to-month,24.45,125.35,Credit card (automatic),0,No,No,No
CUST-00077,0,Month-to-month,97.12, ,Credit card (automatic),0,Fiber optic,No,Yes
CUST-00078,2,Month-to-month,110.25,216.90,Credit card (automatic),1,Fiber optic,Yes,No
CUST-00079,2,Month-to-month,68.52,137.21,Electronic check,3,DSL,Yes,Yes
CUST-00080,8,Two year,90.91,747.27,Mailed check,1,Fiber optic,Yes,No
CUST-00081,43,Month-to-month,67.27,2881.21,Bank transfer (automatic),1,DSL,No,No
CUST-00082,24,Month-to-month,72.92,1792.13,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00083,31,One year,58.38,1840.00,Bank transfer (automatic),0,DSL,Yes,Yes
CUST-00084,52,Two year,91.25,4698.83,Credit card (automatic),3,Fiber optic,No,No
CUST-00085,51,Two year,90.51,4664.71,Electronic check,1,Fiber optic,Yes,No
CUST-00086,23,Month-to-month,75.73,1720.29,Electronic check,1,Fiber optic,No,No
CUST-00087,36,Month-to-month,21.9,779.34,Electronic check,2,No,No,Yes
CUST-00088,57,Two year,23.96,1381.24,Bank transfer (automatic),0,No,No,No
CUST-00089,7,Month-to-month,20.67,145.06,Credit card (automatic),3,No,No,No
CUST-00090,12,One year,24.39,284.03,Bank transfer (automatic),2,No,Yes,Yes
CUST-00091,17,Month-to-month,63.81,1105.62,Bank transfer (automatic),1,DSL,Yes,No
CUST-00092,22,Month-to-month,105.3,2261.26,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00093,15,Two year,113.76,1720.47,Credit card (automatic),3,Fiber optic,No,No
CUST-00094,0,Month-to-month,60.05, ,Credit card (automatic),2,DSL,Yes,No
CUST-00095,13,Month-to-month,111.19,1457.23,Credit card (automatic),0,Fiber optic,No,No
CUST-00096,14,Month-to-month,76.84,1060.30,Electronic check,3,Fiber optic,No,No
CUST-00097,23,Two year,107.95,2409.22,Mailed check,2,Fiber optic,Yes,Yes
CUST-00098,15,Month-to-month,110.64,1678.77,Mailed check,2,Fiber optic,Yes,Yes
CUST-00099,35,Two year,114.04,4108.86,Electronic check,2,Fiber optic,No,No
CUST-00100,44,Two year,73.95,3264.11,Electronic check,1,Fiber optic,Yes,No
CUST-00101,5,Month-to-month,46.76,239.36,Bank transfer (automatic),2,DSL,Yes,No
CUST-00102,14,Two year,71.1,1012.49,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00103,65,Two year,22.04,1429.10,Credit card (automatic),0,No,No,No
CUST-00104,30,Month-to-month,19.7,592.53,Electronic check,3,No,Yes,Yes
CUST-00105,4,Month-to-month,22.51,91.01,Mailed check,0,No,No,No
CUST-00106,6,Month-to-month,74.98,456.99,Bank transfer (automatic),1,DSL,Yes,Yes
CUST-00107,39,Two year,54.4,2083.30,Electronic check,2,DSL,Yes,No
CUST-00108,39,One year,42.69,1651.20,Mailed check,2,DSL,Yes,No
CUST-00109,0,Month-to-month,113.38, ,Electronic check,0,Fiber optic,No,No
CUST-00110,26,Month-to-month,65.14,1712.72,Electronic check,3,DSL,Yes,No
CUST-00111,9,Month-to-month,19.76,177.07,Credit card (automatic),2,No,Yes,No
CUST-00112,23,Two year,103.75,2393.35,Bank transfer (automatic),1,Fiber optic,Yes,No
CUST-00113,37,Two year,65.53,2457.51,Credit card (automatic),2,DSL,No,No
CUST-00114,25,One year,56.34,1372.36,Electronic check,2,DSL,No,No
CUST-00115,52,Month-to-month,50.22,2681.91,Electronic check,1,DSL,Yes,No
CUST-00116,18,Month-to-month,25.69,469.87,Electronic check,0,No,No,No
CUST-00117,66,One year,101.35,6616.66,Electronic check,6,Fiber optic,No,No
CUST-00118,0,Month-to-month,18.26, ,Electronic check,2,No,Yes,Yes
CUST-00119,30,One year,47.07,1448.80,Bank transfer (automatic),0,DSL,Yes,No
CUST-00120,45,Two year,20.11,893.93,Bank transfer (automatic),1,No,Yes,No
CUST-00121,52,Two year,72.1,3859.81,Bank transfer (automatic),1,DSL,No,No
CUST-00122,19,Two year,93.14,1766.99,Electronic check,2,Fiber optic,Yes,No
CUST-00123,25,Month-to-month,18.7,466.27,Bank transfer (automatic),3,No,Yes,No
CUST-00124,1,Month-to-month,20.24,20.33,Bank transfer (automatic),4,No,No,Yes
CUST-00125,43,Two year,117.81,5198.11,Bank transfer (automatic),4,Fiber optic,Yes,Yes
CUST-00126,37,One year,70.45,2682.22,Electronic check,1,DSL,Yes,No
CUST-00127,3,Two year,70.23,207.17,Credit card (automatic),4,Fiber optic,No,Yes
CUST-00128,38,Two year,110.89,4145.51,Electronic check,4,Fiber optic,Yes,Yes
CUST-00129,5,Two year,49.5,246.05,Mailed check,1,DSL,Yes,No
CUST-00130,67,Two year,86.13,5884.49,Bank transfer (automatic),1,Fiber optic,Yes,Yes
CUST-00131,66,One year,75.77,5040.12,Electronic check,3,Fiber optic,No,Yes
CUST-00132,5,Month-to-month,18.33,89.68,Electronic check,4,No,Yes,No
CUST-00133,9,Month-to-month,22.03,198.55,Credit card (automatic),1,No,Yes,No
CUST-00134,43,One year,83.94,3682.40,Credit card (automatic),3,Fiber optic,No,Yes
CUST-00135,7,Month-to-month,87.56,595.45,Electronic check,2,Fiber optic,Yes,No
CUST-00136,35,Month-to-month,48.65,1695.75,Bank transfer (automatic),2,DSL,Yes,No
CUST-00137,2,Month-to-month,109.31,213.61,Electronic check,3,Fiber optic,Yes,No
CUST-00138,10,Month-to-month,78.46,783.29,Electronic check,4,Fiber optic,Yes,Yes
CUST-00139,9,Two year,95.22,833.11,Credit card (automatic),2,Fiber optic,No,No
CUST-00140,11,Month-to-month,21.77,239.90,Mailed check,2,No,No,No
CUST-00141,20,Month-to-month,25.15,516.36,Credit card (automatic),2,No,Yes,No
CUST-00142,40,One year,25.66,1016.87,Mailed check,4,No,Yes,Yes
CUST-00143,43,Two year,114.16,4852.26,Credit card (automatic),2,Fiber optic,Yes,Yes
CUST-00144,1,Month-to-month,69.2,70.53,Bank transfer (automatic),3,DSL,Yes,No
CUST-00145,13,Month-to-month,21.48,274.28,Mailed check,2,No,No,Yes
CUST-00146,49,Month-to-month,47.25,2297.80,Bank transfer (automatic),2,DSL,Yes,Yes
CUST-00147,18,Month-to-month,112.41,2079.31,Credit card (automatic),4,Fiber optic,No,Yes
CUST-00148,45,Month-to-month,23.62,1072.82,Electronic check,2,No,Yes,No
CUST-00149,4,Month-to-month,76.43,309.00,Bank transfer (automatic),1,Fiber optic,Yes,Yes
CUST-00150,7,Two year,45.7,321.20,Electronic check,0,DSL,Yes,No
CUST-00151,33,Month-to-month,67.04,2156.07,Bank transfer (automatic),0,DSL,Yes,No
CUST-00152,34,Month-to-month,114.16,3924.57,Bank transfer (automatic),1,Fiber optic,No,No
CUST-00153,46,One year,80.43,3767.86,Credit card (automatic),3,Fiber optic,No,No
CUST-00154,53,One year,21.34,1146.49,Credit card (automatic),3,No,Yes,No
CUST-00155,50,Two year,117.02,5715.43,Electronic check,2,Fiber optic,No,No
CUST-00156,13,Month-to-month,116.12,1512.37,Electronic check,0,Fiber optic,No,Yes
CUST-00157,7,Month-to-month,67.93,465.29,Bank transfer (automatic),1,DSL,Yes,Yes
CUST-00158,1,Two year,59.76,60.58,Electronic check,5,DSL,No,Yes
CUST-00159,44,Two year,21.05,952.54,Bank transfer (automatic),3,No,Yes,No
CUST-00160,15,Month-to-month,21.18,317.73,Electronic check,1,No,No,Yes
CUST-00161,40,One year,94.61,3706.69,Credit card (automatic),1,Fiber optic,No,No
CUST-00162,1,Month-to-month,67.53,67.04,Bank transfer (automatic),2,DSL,Yes,No
CUST-00163,36,One year,61.1,2197.12,Mailed check,3,DSL,Yes,No
CUST-00164,5,Month-to-month,19.97,100.13,Electronic check,2,No,No,Yes
CUST-00165,20,One year,106.71,2128.67,Bank transfer (automatic),3,Fiber optic,No,No
CUST-00166,62,Two year,92.08,5609.00,Mailed check,2,Fiber optic,Yes,No
CUST-00167,29,Two year,22.55,653.85,Bank transfer (automatic),1,No,No,No
CUST-00168,14,Two year,70.75,1019.85,Bank transfer (automatic),1,DSL,Yes,No
CUST-00169,41,Two year,56.48,2368.71,Electronic check,1,DSL,Yes,No
CUST-00170,3,Month-to-month,25.22,76.86,Electronic check,0,No,No,Yes
CUST-00171,14,Month-to-month,94.87,1355.84,Mailed check,2,Fiber optic,No,No
CUST-00172,10,Month-to-month,68.12,675.99,Electronic check,0,DSL,Yes,No
CUST-00173,54,One year,69.99,3719.67,Electronic check,1,DSL,Yes,No
CUST-00174,5,One year,55.76,273.91,Electronic check,1,DSL,Yes,No
CUST-00175,15,Two year,82.58,1213.12,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00176,29,Two year,76.11,2194.03,Credit card (automatic),0,DSL,No,No
CUST-00177,4,Month-to-month,85.28,347.74,Credit card (automatic),2,Fiber optic,Yes,No
CUST-00178,19,One year,19.07,366.98,Credit card (automatic),1,No,Yes,No
CUST-00179,29,Month-to-month,94.17,2797.65,Bank transfer (automatic),3,Fiber optic,Yes,Yes
CUST-00180,0,One year,110.2, ,Credit card (automatic),5,Fiber optic,No,Yes
CUST-00181,40,Two year,52.77,2080.02,Electronic check,1,DSL,Yes,No
CUST-00182,11,Month-to-month,94.07,1057.46,Bank transfer (automatic),1,Fiber optic,Yes,No
CUST-00183,58,One year,55.66,3255.18,Credit card (automatic),2,DSL,Yes,No
CUST-00184,58,Two year,18.43,1069.01,Credit card (automatic),2,No,No,No
CUST-00185,7,Month-to-month,76.71,543.71,Electronic check,1,Fiber optic,Yes,Yes
CUST-00186,8,Two year,108.85,874.72,Bank transfer (automatic),1,Fiber optic,No,No
CUST-00187,14,Two year,76.52,1092.05,Mailed check,3,DSL,No,No
CUST-00188,11,Month-to-month,42.66,460.49,Bank transfer (automatic),1,DSL,Yes,No
CUST-00189,23,Two year,73.85,1690.49,Bank transfer (automatic),2,DSL,Yes,No
CUST-00190,32,Two year,68.85,2233.03,Credit card (automatic),3,DSL,No,No
CUST-00191,51,One year,103.39,5347.19,Credit card (automatic),3,Fiber optic,Yes,No
CUST-00192,14,Month-to-month,90.96,1256.07,Mailed check,2,Fiber optic,Yes,No
CUST-00193,31,Two year,86.16,2661.50,Electronic check,3,Fiber optic,Yes,No
CUST-00194,23,Two year,90.02,2039.48,Credit card (automatic),0,Fiber optic,Yes,No
CUST-00195,26,Month-to-month,99.32,2604.79,Credit card (automatic),2,Fiber optic,Yes,Yes
CUST-00196,13,Two year,76.96,1029.04,Electronic check,1,DSL,Yes,No
CUST-00197,0,Month-to-month,80.09, ,Bank transfer (automatic),3,Fiber optic,Yes,No
CUST-00198,13,One year,25.55,331.99,Credit card (automatic),2,No,Yes,Yes
CUST-00199,36,One year,20.0,721.63,Credit card (automatic),1,No,Yes,No
CUST-00200,51,One year,73.29,3759.55,Bank transfer (automatic),0,DSL,Yes,No
CUST-00201,24,Month-to-month,23.2,571.55,Bank transfer (automatic),1,No,Yes,No
CUST-00202,4,Month-to-month,23.84,97.63,Credit card (automatic),0,No,Yes,No
CUST-00203,3,Month-to-month,110.54,333.13,Mailed check,1,Fiber optic,Yes,Yes
CUST-00204,17,Two year,18.34,309.89,Credit card (automatic),4,No,Yes,No
CUST-00205,55,Month-to-month,23.68,1313.29,Electronic check,3,No,Yes,Yes
CUST-00206,29,Month-to-month,118.54,3373.24,Bank transfer (automatic),1,Fiber optic,Yes,Yes
CUST-00207,17,Month-to-month,21.96,379.24,Credit card (automatic),1,No,Yes,No
CUST-00208,36,Month-to-month,22.31,788.69,Bank transfer (automatic),1,No,No,Yes
CUST-00209,32,Two year,75.17,2423.17,Mailed check,2,Fiber optic,Yes,Yes
CUST-00210,6,Month-to-month,20.81,122.94,Electronic check,1,No,Yes,Yes
CUST-00211,46,Two year,99.86,4721.22,Electronic check,3,Fiber optic,No,No
CUST-00212,4,Month-to-month,19.15,77.20,Bank transfer (automatic),1,No,Yes,No
CUST-00213,19,Month-to-month,86.25,1679.82,Credit card (automatic),2,Fiber optic,No,No
CUST-00214,29,Two year,86.96,2576.65,Credit card (automatic),1,Fiber optic,No,No
CUST-00215,36,Month-to-month,24.35,886.89,Credit card (automatic),1,No,No,No
CUST-00216,23,One year,96.21,2225.73,Electronic check,3,Fiber optic,No,No
CUST-00217,39,Two year,22.41,895.73,Bank transfer (automatic),2,No,Yes,No
CUST-00218,49,Two year,52.78,2588.78,Credit card (automatic),0,DSL,Yes,No
CUST-00219,6,Month-to-month,20.6,125.88,Electronic check,2,No,Yes,Yes
CUST-00220,11,Two year,58.92,634.25,Credit card (automatic),4,DSL,Yes,Yes
CUST-00221,5,Two year,24.38,121.97,Electronic check,1,No,Yes,No
CUST-00222,23,One year,54.04,1240.03,Mailed check,0,DSL,Yes,Yes
CUST-00223,45,One year,85.67,3831.09,Electronic check,1,Fiber optic,No,Yes
CUST-00224,17,Month-to-month,22.52,376.16,Credit card (automatic),4,No,Yes,Yes
CUST-00225,17,Two year,110.94,1847.55,Bank transfer (automatic),0,Fiber optic,Yes,No
CUST-00226,29,Two year,60.84,1805.40,Mailed check,6,DSL,Yes,Yes
CUST-00227,17,Month-to-month,19.21,327.18,Credit card (automatic),2,No,No,Yes
CUST-00228,30,Month-to-month,25.12,775.48,Electronic check,1,No,Yes,No
CUST-00229,5,One year,21.78,106.15,Electronic check,2,No,Yes,No
CUST-00230,51,Two year,70.67,3669.12,Mailed check,0,DSL,Yes,No
CUST-00231,33,Month-to-month,44.08,1418.81,Electronic check,2,DSL,No,No
CUST-00232,2,Month-to-month,72.94,142.06,Credit card (automatic),3,DSL,No,Yes
CUST-00233,40,Month-to-month,72.84,2880.29,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00234,1,Month-to-month,117.17,120.09,Electronic check,0,Fiber optic,No,Yes
CUST-00235,27,One year,113.41,3143.46,Electronic check,2,Fiber optic,Yes,No
CUST-00236,54,One year,20.25,1077.45,Mailed check,5,No,Yes,Yes
CUST-00237,39,Month-to-month,19.93,779.97,Bank transfer (automatic),2,No,Yes,Yes
CUST-00238,18,Two year,71.01,1247.69,Electronic check,1,DSL,Yes,No
CUST-00239,34,Month-to-month,77.39,2693.73,Electronic check,3,Fiber optic,No,Yes
CUST-00240,1,Month-to-month,112.33,109.60,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00241,9,Month-to-month,71.56,630.85,Electronic check,3,Fiber optic,Yes,Yes
CUST-00242,25,Month-to-month,66.22,1633.31,Bank transfer (automatic),3,DSL,Yes,No
CUST-00243,48,Two year,20.2,954.96,Bank transfer (automatic),0,No,Yes,No
CUST-00244,1,One year,111.08,110.59,Mailed check,1,Fiber optic,Yes,No
CUST-00245,20,Month-to-month,88.38,1726.89,Mailed check,1,Fiber optic,No,No
CUST-00246,10,Month-to-month,21.5,212.60,Electronic check,1,No,No,No
CUST-00247,3,Month-to-month,47.8,145.69,Electronic check,0,DSL,Yes,Yes
CUST-00248,23,Two year,100.53,2297.99,Mailed check,0,Fiber optic,No,No
CUST-00249,43,Two year,92.94,4080.40,Electronic check,2,Fiber optic,Yes,No
CUST-00250,21,One year,42.82,887.84,Bank transfer (automatic),2,DSL,Yes,No
CUST-00251,17,One year,69.1,1171.20,Bank transfer (automatic),4,DSL,No,Yes
CUST-00252,2,Two year,76.24,151.50,Mailed check,4,Fiber optic,Yes,Yes
CUST-00253,53,One year,22.2,1179.90,Electronic check,2,No,Yes,No
CUST-00254,24,Month-to-month,96.28,2376.80,Credit card (automatic),1,Fiber optic,Yes,Yes
CUST-00255,39,Month-to-month,53.4,2033.62,Credit card (automatic),3,DSL,No,No
CUST-00256,20,Month-to-month,81.15,1671.22,Credit card (automatic),2,Fiber optic,Yes,No
CUST-00257,21,Month-to-month,85.18,1757.60,Mailed check,6,Fiber optic,Yes,Yes
CUST-00258,25,One year,56.99,1397.02,Electronic check,4,DSL,Yes,No
CUST-00259,56,Two year,115.55,6547.20,Mailed check,3,Fiber optic,No,No
CUST-00260,0,Month-to-month,66.86, ,Mailed check,0,DSL,No,No
CUST-00261,10,Month-to-month,117.06,1190.76,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00262,35,Two year,74.14,2580.59,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00263,5,One year,72.22,366.28,Mailed check,0,Fiber optic,Yes,No
CUST-00264,6,Month-to-month,44.63,266.59,Credit card (automatic),2,DSL,No,Yes
CUST-00265,32,One year,24.69,800.50,Electronic check,3,No,No,Yes
CUST-00266,23,Month-to-month,72.87,1707.22,Credit card (automatic),0,DSL,No,No
CUST-00267,0,Month-to-month,21.54, ,Credit card (automatic),0,No,No,No
CUST-00268,32,Month-to-month,58.35,1888.43,Bank transfer (automatic),1,DSL,No,No
CUST-00269,6,Month-to-month,58.06,345.54,Credit card (automatic),0,DSL,Yes,No
CUST-00270,30,One year,25.33,740.49,Credit card (automatic),1,No,Yes,No
CUST-00271,18,Month-to-month,82.77,1480.82,Electronic check,1,Fiber optic,No,Yes
CUST-00272,6,Month-to-month,68.65,407.18,Bank transfer (automatic),2,DSL,No,No
CUST-00273,29,One year,46.5,1374.39,Mailed check,5,DSL,No,No
CUST-00274,65,Two year,82.75,5487.32,Mailed check,2,Fiber optic,Yes,Yes
CUST-00275,9,Month-to-month,99.17,882.30,Electronic check,1,Fiber optic,Yes,Yes
CUST-00276,37,One year,64.25,2377.34,Mailed check,0,DSL,No,No
CUST-00277,23,One year,62.65,1428.90,Bank transfer (automatic),0,DSL,Yes,Yes
CUST-00278,52,Month-to-month,76.02,4064.34,Bank transfer (automatic),1,Fiber optic,Yes,No
CUST-00279,2,Month-to-month,69.97,140.82,Mailed check,1,DSL,No,No
CUST-00280,7,One year,104.67,748.75,Bank transfer (automatic),3,Fiber optic,Yes,No
CUST-00281,53,Two year,67.29,3574.68,Bank transfer (automatic),3,DSL,Yes,No
CUST-00282,0,Month-to-month,19.22, ,Credit card (automatic),3,No,No,No
CUST-00283,28,Month-to-month,50.54,1392.37,Mailed check,1,DSL,Yes,No
CUST-00284,24,One year,114.4,2717.83,Credit card (automatic),2,Fiber optic,Yes,No
CUST-00285,17,Month-to-month,21.87,372.76,Electronic check,1,No,Yes,No
CUST-00286,5,Month-to-month,90.38,450.18,Credit card (automatic),3,Fiber optic,No,Yes
CUST-00287,38,Month-to-month,112.54,4356.75,Credit card (automatic),3,Fiber optic,Yes,No
CUST-00288,2,Month-to-month,53.23,103.81,Mailed check,1,DSL,No,No
CUST-00289,1,Month-to-month,72.57,71.45,Credit card (automatic),2,DSL,Yes,Yes
CUST-00290,56,One year,91.52,5262.00,Credit card (automatic),1,Fiber optic,Yes,No
CUST-00291,6,Month-to-month,65.12,394.13,Electronic check,1,DSL,No,Yes
CUST-00292,28,One year,87.79,2502.28,Bank transfer (automatic),0,Fiber optic,Yes,No
CUST-00293,6,Two year,25.12,155.19,Credit card (automatic),1,No,Yes,No
CUST-00294,14,One year,19.05,270.36,Electronic check,0,No,Yes,No
CUST-00295,7,One year,50.4,342.61,Credit card (automatic),0,DSL,Yes,No
CUST-00296,35,Month-to-month,79.88,2757.79,Electronic check,1,Fiber optic,No,Yes
CUST-00297,31,Two year,82.69,2593.43,Bank transfer (automatic),3,Fiber optic,No,No
CUST-00298,8,Month-to-month,92.15,753.37,Mailed check,0,Fiber optic,Yes,Yes
CUST-00299,12,Month-to-month,46.75,575.91,Bank transfer (automatic),2,DSL,No,No
CUST-00300,23,Two year,43.91,983.11,Electronic check,1,DSL,Yes,No
CUST-00301,53,Two year,22.49,1159.91,Mailed check,1,No,No,No
CUST-00302,4,Two year,94.48,381.02,Bank transfer (automatic),3,Fiber optic,No,No
CUST-00303,2,Month-to-month,20.8,42.01,Bank transfer (automatic),2,No,No,No
CUST-00304,7,Month-to-month,48.71,339.83,Credit card (automatic),2,DSL,Yes,No
CUST-00305,29,Month-to-month,75.72,2255.07,Credit card (automatic),3,Fiber optic,Yes,No
CUST-00306,21,Two year,113.34,2435.32,Electronic check,0,Fiber optic,Yes,No
CUST-00307,29,Month-to-month,58.32,1682.52,Credit card (automatic),3,DSL,Yes,No
CUST-00308,40,Month-to-month,77.17,3097.53,Bank transfer (automatic),2,DSL,Yes,Yes
CUST-00309,2,Month-to-month,20.69,42.17,Bank transfer (automatic),1,No,Yes,Yes
CUST-00310,48,One year,99.87,4824.12,Electronic check,0,Fiber optic,Yes,No
CUST-00311,43,Month-to-month,63.16,2666.28,Electronic check,2,DSL,Yes,No
CUST-00312,1,Month-to-month,19.47,19.22,Electronic check,1,No,Yes,Yes
CUST-00313,16,One year,21.95,345.99,Credit card (automatic),0,No,Yes,No
CUST-00314,16,Month-to-month,60.14,958.61,Mailed check,5,DSL,No,Yes
CUST-00315,25,Month-to-month,94.69,2397.60,Electronic check,3,Fiber optic,No,No
CUST-00316,48,Two year,84.72,4059.22,Mailed check,2,Fiber optic,No,No
CUST-00317,19,One year,81.84,1596.92,Mailed check,2,Fiber optic,No,Yes
